PREC001,"Translation MT Headers => BAH is done before the payload translation starts
Define the Translation BAH/../ From and BAH/.. / To to InstructingAgent and InstructedAgent",TR001,,,,
PREC002,"IF Field 72, Line[1] starts with ""/REJT/"" OR ""/RETN/"" THEN 
    T20063
   STOP Translation
ENDIF",,,,,
